codigo_cnae,atividade,natureza_juridica,total_empresas,pessoal_ocupado_total,pessoal_ocupado_assalariado,salario_outras_rem
01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,Entidades empresariais,12374,81909,64187,1686232.658
01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,Entidades sem fins lucrativos,348,,,
01.7,Caça e serviços relacionados,Total,,,,
01.7,Caça e serviços relacionados,Administração pública,,,,
01.7,Caça e serviços relacionados,Entidades empresariais,,,,
01.7,Caça e serviços relacionados,Entidades sem fins lucrativos,,,,
02,Produção florestal,Total,8497,83611,71469,1602647.822
02,Produção florestal,Administração pública,1,,,
02,Produção florestal,Entidades empresariais,8458,83477,71368,1598249.2
02,Produção florestal,Entidades sem fins lucrativos,38,,,
02.1,Produção florestal - florestas plantadas,Total,5760,48438,39939,920149.685
02.1,Produção florestal - florestas plantadas,Administração pública,,,,
02.1,Produção florestal - florestas plantadas,Entidades empresariais,5757,48423,39932,919994.499
02.1,Produção florestal - florestas plantadas,Entidades sem fins lucrativos,3,15,7,155.186
02.2,Produção florestal - florestas nativas,Total,867,5323,4124,77873.812
02.2,Produção florestal - florestas nativas,Administração pública,,,,
02.2,Produção florestal - florestas nativas,Entidades empresariais,856,5283,4088,76351.342
02.2,Produção florestal - florestas nativas,Entidades sem fins lucrativos,11,40,36,1522.47
02.3,Atividades de apoio à produção florestal,Total,1870,29850,27406,604624.325
02.3,Atividades de apoio à produção florestal,Administração pública,1,,,
02.3,Atividades de apoio à produção florestal,Entidades empresariais,1845,29771,27348,601903.359
02.3,Atividades de apoio à produção florestal,Entidades sem fins lucrativos,24,,,
03,Pesca e aquicultura,Total,2752,14263,10423,207697.099
03,Pesca e aquicultura,Administração pública,1,,,
03,Pesca e aquicultura,Entidades empresariais,2618,13984,10265,198446.423
03,Pesca e aquicultura,Entidades sem fins lucrativos,133,,,
03.1,Pesca,Total,1093,2866,1600,47403.877
03.1,Pesca,Administração pública,1,,,
03.1,Pesca,Entidades empresariais,1012,2647,1451,38356.735
03.1,Pesca,Entidades sem fins lucrativos,80,,,
03.2,Aquicultura,Total,1659,11397,8823,160293.222
03.2,Aquicultura,Administração pública,,,,
03.2,Aquicultura,Entidades empresariais,1606,11337,8814,160089.688
03.2,Aquicultura,Entidades sem fins lucrativos,53,60,9,203.534
B,Indústrias extrativas,Total,10745,208518,191333,11563500.857
B,Indústrias extrativas,Administração pública,2,,,
B,Indústrias extrativas,Entidades empresariais,10738,208515,191333,11563500.857
B,Indústrias extrativas,Entidades sem fins lucrativos,5,,,
05,Extração de carvão mineral,Total,48,3619,3548,198620.039
05,Extração de carvão mineral,Administração pública,,,,
05,Extração de carvão mineral,Entidades empresariais,48,3619,3548,198620.039
05,Extração de carvão mineral,Entidades sem fins lucrativos,,,,
05.0,Extração de carvão mineral,Total,48,3619,3548,198620.039
05.0,Extração de carvão mineral,Administração pública,,,,
05.0,Extração de carvão mineral,Entidades empresariais,48,3619,3548,198620.039
05.0,Extração de carvão mineral,Entidades sem fins lucrativos,,,,
06,Extração de petróleo e gás natural,Total,172,4625,4392,1221201.239
06,Extração de petróleo e gás natural,Administração pública,,,,
06,Extração de petróleo e gás natural,Entidades empresariais,172,4625,4392,1221201.239
06,Extração de petróleo e gás natural,Entidades sem fins lucrativos,,,,
06.0,Extração de petróleo e gás natural,Total,172,4625,4392,1221201.239
06.0,Extração de petróleo e gás natural,Administração pública,,,,
06.0,Extração de petróleo e gás natural,Entidades empresariais,172,4625,4392,1221201.239
06.0,Extração de petróleo e gás natural,Entidades sem fins lucrativos,,,,
07,Extração de minerais metálicos,Total,862,89922,88531,4939755.73
07,Extração de minerais metálicos,Administração pública,,,,
07,Extração de minerais metálicos,Entidades empresariais,861,,,
07,Extração de minerais metálicos,Entidades sem fins lucrativos,1,,,
07.1,Extração de minério de ferro,Total,226,74101,73678,4004536.694
07.1,Extração de minério de ferro,Administração pública,,,,
07.1,Extração de minério de ferro,Entidades empresariais,226,74101,73678,4004536.694
07.1,Extração de minério de ferro,Entidades sem fins lucrativos,,,,
07.2,Extração de minerais metálicos não-ferrosos,Total,636,15821,14853,935219.036
07.2,Extração de minerais metálicos não-ferrosos,Administração pública,,,,
07.2,Extração de minerais metálicos não-ferrosos,Entidades empresariais,635,,,
07.2,Extração de minerais metálicos não-ferrosos,Entidades sem fins lucrativos,1,,,
08,Extração de minerais não-metálicos,Total,9097,85233,70398,2199629.119
08,Extração de minerais não-metálicos,Administração pública,2,,,
08,Extração de minerais não-metálicos,Entidades empresariais,9093,85231,70398,2199629.119
08,Extração de minerais não-metálicos,Entidades sem fins lucrativos,2,,,
08.1,"Extração de pedra, areia e argila",Total,7972,71151,58202,1805707.834
08.1,"Extração de pedra, areia e argila",Administração pública,,,,
08.1,"Extração de pedra, areia e argila",Entidades empresariais,7972,71151,58202,1805707.834
08.1,"Extração de pedra, areia e argila",Entidades sem fins lucrativos,,,,
08.9,Extração de outros minerais não-metálicos,Total,1125,14082,12196,393921.285
08.9,Extração de outros minerais não-metálicos,Administração pública,2,,,
08.9,Extração de outros minerais não-metálicos,Entidades empresariais,1121,14080,12196,393921.285
08.9,Extração de outros minerais não-metálicos,Entidades sem fins lucrativos,2,,,
09,Atividades de apoio à extração de minerais,Total,566,25119,24464,3004294.73
09,Atividades de apoio à extração de minerais,Administração pública,,,,
09,Atividades de apoio à extração de minerais,Entidades empresariais,564,,,
09,Atividades de apoio à extração de minerais,Entidades sem fins lucrativos,2,,,
09.1,Atividades de apoio à extração de petróleo e gás natural,Total,204,21494,21322,2899202.836
09.1,Atividades de apoio à extração de petróleo e gás natural,Administração pública,,,,
09.1,Atividades de apoio à extração de petróleo e gás natural,Entidades empresariais,204,21494,21322,2899202.836
09.1,Atividades de apoio à extração de petróleo e gás natural,Entidades sem fins lucrativos,,,,
09.9,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",Total,362,3625,3142,105091.894
09.9,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",Administração pública,,,,
09.9,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",Entidades empresariais,360,,,
09.9,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",Entidades sem fins lucrativos,2,,,
C,Indústrias de transformação,Total,390555,7746720,7191635,296211099.206
C,Indústrias de transformação,Administração pública,3,978,978,58266.813
C,Indústrias de transformação,Entidades empresariais,390389,7744725,7189787,296125884.041
C,Indústrias de transformação,Entidades sem fins lucrativos,163,1017,870,26948.352
10,Fabricação de produtos alimentícios,Total,54398,1704116,1625615,50403363.373
10,Fabricação de produtos alimentícios,Administração pública,,,,
10,Fabricação de produtos alimentícios,Entidades empresariais,54303,1703854,1625445,50399378.48
10,Fabricação de produtos alimentícios,Entidades sem fins lucrativos,95,262,170,3984.893
10.1,Abate e fabricação de produtos de carne,Total,4618,607245,600647,16735173.455
10.1,Abate e fabricação de produtos de carne,Administração pública,,,,
10.1,Abate e fabricação de produtos de carne,Entidades empresariais,4608,607197,600606,16734141.201
10.1,Abate e fabricação de produtos de carne,Entidades sem fins lucrativos,10,48,41,1032.254
10.2,Preservação do pescado e fabricação de produtos do pescado,Total,656,19898,19028,486337.004
10.2,Preservação do pescado e fabricação de produtos do pescado,Administração pública,,,,
10.2,Preservação do pescado e fabricação de produtos do pescado,Entidades empresariais,654,,,
10.2,Preservação do pescado e fabricação de produtos do pescado,Entidades sem fins lucrativos,2,,,
10.3,"Fabricação de conservas de frutas, legumes e outros vegetais",Total,3429,106975,101766,2575754.537
10.3,"Fabricação de conservas de frutas, legumes e outros vegetais",Administração pública,,,,
10.3,"Fabricação de conservas de frutas, legumes e outros vegetais",Entidades empresariais,3422,106970,101765,2575748.617
10.3,"Fabricação de conservas de frutas, legumes e outros vegetais",Entidades sem fins lucrativos,7,5,1,5.92
10.4,Fabricação de óleos e gorduras vegetais e animais,Total,414,55771,55105,3156480.713
10.4,Fabricação de óleos e gorduras vegetais e animais,Administração pública,,,,
10.4,Fabricação de óleos e gorduras vegetais e animais,Entidades empresariais,414,55771,55105,3156480.713
10.4,Fabricação de óleos e gorduras vegetais e animais,Entidades sem fins lucrativos,,,,
10.5,Laticínios,Total,6848,157782,147251,5712790.837
10.5,Laticínios,Administração pública,,,,
10.5,Laticínios,Entidades empresariais,6797,157637,147152,5710286.808
10.5,Laticínios,Entidades sem fins lucrativos,51,145,99,2504.029
10.6,"Moagem, fabricação de produtos amiláceos e de alimentos para animais",Total,5052,139870,131902,5083465.546
10.6,"Moagem, fabricação de produtos amiláceos e de alimentos para animais",Administração pública,,,,
10.6,"Moagem, fabricação de produtos amiláceos e de alimentos para animais",Entidades empresariais,5047,139851,131895,5083361.473
10.6,"Moagem, fabricação de produtos amiláceos e de alimentos para animais",Entidades sem fins lucrativos,5,19,7,104.073
10.7,Fabricação e refino de açúcar,Total,265,155219,154713,4384614.281
10.7,Fabricação e refino de açúcar,Administração pública,,,,
10.7,Fabricação e refino de açúcar,Entidades empresariais,264,,,
10.7,Fabricação e refino de açúcar,Entidades sem fins lucrativos,1,,,
10.8,Torrefação e moagem de café,Total,1764,25890,23223,877727.888
10.8,Torrefação e moagem de café,Administração pública,,,,
10.8,Torrefação e moagem de café,Entidades empresariais,1762,,,
10.8,Torrefação e moagem de café,Entidades sem fins lucrativos,2,,,
10.9,Fabricação de outros produtos alimentícios,Total,31352,435466,391980,11391019.112
10.9,Fabricação de outros produtos alimentícios,Administração pública,,,,
10.9,Fabricação de outros produtos alimentícios,Entidades empresariais,31335,435430,391964,11390749.553
10.9,Fabricação de outros produtos alimentícios,Entidades sem fins lucrativos,17,36,16,269.559
11,Fabricação de bebidas,Total,5326,182632,174060,7568700.247
11,Fabricação de bebidas,Administração pública,,,,
11,Fabricação de bebidas,Entidades empresariais,5324,,,
11,Fabricação de bebidas,Entidades sem fins lucrativos,2,,,
11.1,Fabricação de bebidas alcoólicas,Total,3651,89204,83170,4412542.076
11.1,Fabricação de bebidas alcoólicas,Administração pública,,,,
11.1,Fabricação de bebidas alcoólicas,Entidades empresariais,3649,,,
11.1,Fabricação de bebidas alcoólicas,Entidades sem fins lucrativos,2,,,
11.2,Fabricação de bebidas não-alcoólicas,Total,1675,93428,90890,3156158.171
11.2,Fabricação de bebidas não-alcoólicas,Administração pública,,,,
11.2,Fabricação de bebidas não-alcoólicas,Entidades empresariais,1675,93428,90890,3156158.171
11.2,Fabricação de bebidas não-alcoólicas,Entidades sem fins lucrativos,,,,
12,Fabricação de produtos do fumo,Total,253,15974,15706,1186447.024
12,Fabricação de produtos do fumo,Administração pública,,,,
12,Fabricação de produtos do fumo,Entidades empresariais,253,15974,15706,1186447.024
12,Fabricação de produtos do fumo,Entidades sem fins lucrativos,,,,
12.1,Processamento industrial do fumo,Total,31,5313,5287,385937.097
12.1,Processamento industrial do fumo,Administração pública,,,,
12.1,Processamento industrial do fumo,Entidades empresariais,31,5313,5287,385937.097
12.1,Processamento industrial do fumo,Entidades sem fins lucrativos,,,,
12.2,Fabricação de produtos do fumo,Total,222,10661,10419,800509.927
12.2,Fabricação de produtos do fumo,Administração pública,,,,
12.2,Fabricação de produtos do fumo,Entidades empresariais,222,10661,10419,800509.927
12.2,Fabricação de produtos do fumo,Entidades sem fins lucrativos,,,,
13,Fabricação de produtos têxteis,Total,10930,256691,241123,6977368.163
13,Fabricação de produtos têxteis,Administração pública,,,,
13,Fabricação de produtos têxteis,Entidades empresariais,10916,256434,240873,6973478.194
13,Fabricação de produtos têxteis,Entidades sem fins lucrativos,14,257,250,3889.969
13.1,Preparação e fiação de fibras têxteis,Total,702,31664,30517,817691.57
13.1,Preparação e fiação de fibras têxteis,Administração pública,,,,
13.1,Preparação e fiação de fibras têxteis,Entidades empresariais,701,,,
13.1,Preparação e fiação de fibras têxteis,Entidades sem fins lucrativos,1,,,
13.2,"Tecelagem, exceto malha",Total,979,73003,71420,2156436.316
13.2,"Tecelagem, exceto malha",Administração pública,,,,
13.2,"Tecelagem, exceto malha",Entidades empresariais,977,,,
13.2,"Tecelagem, exceto malha",Entidades sem fins lucrativos,2,,,
13.3,Fabricação de tecidos de malha,Total,779,25837,24667,837602.665
13.3,Fabricação de tecidos de malha,Administração pública,,,,
13.3,Fabricação de tecidos de malha,Entidades empresariais,779,25837,24667,837602.665
13.3,Fabricação de tecidos de malha,Entidades sem fins lucrativos,,,,
13.4,"Acabamentos em fios, tecidos e artefatos têxteis",Total,2674,35527,31853,854906.185
13.4,"Acabamentos em fios, tecidos e artefatos têxteis",Administração pública,,,,
13.4,"Acabamentos em fios, tecidos e artefatos têxteis",Entidades empresariais,2671,35527,31853,854906.185
13.4,"Acabamentos em fios, tecidos e artefatos têxteis",Entidades sem fins lucrativos,3,,,
13.5,"Fabricação de artefatos têxteis, exceto vestuário",Total,5796,90660,82666,2310731.427
13.5,"Fabricação de artefatos têxteis, exceto vestuário",Administração pública,,,,
13.5,"Fabricação de artefatos têxteis, exceto vestuário",Entidades empresariais,5788,90405,82416,2306841.458
13.5,"Fabricação de artefatos têxteis, exceto vestuário",Entidades sem fins lucrativos,8,255,250,3889.969
14,Confecção de artigos do vestuário e acessórios,Total,53296,624944,551808,11709457.678
14,Confecção de artigos do vestuário e acessórios,Administração pública,,,,
14,Confecção de artigos do vestuário e acessórios,Entidades empresariais,53282,624933,551805,11709392.042
14,Confecção de artigos do vestuário e acessórios,Entidades sem fins lucrativos,14,11,3,65.636
14.1,Confecção de artigos do vestuário e acessórios,Total,51354,607402,536999,11338753.154
14.1,Confecção de artigos do vestuário e acessórios,Administração pública,,,,
14.1,Confecção de artigos do vestuário e acessórios,Entidades empresariais,51344,607392,536996,11338687.518
14.1,Confecção de artigos do vestuário e acessórios,Entidades sem fins lucrativos,10,10,3,65.636
14.2,Fabricação de artigos de malharia e tricotagem,Total,1942,17542,14809,370704.524
14.2,Fabricação de artigos de malharia e tricotagem,Administração pública,,,,
14.2,Fabricação de artigos de malharia e tricotagem,Entidades empresariais,1938,17541,14809,370704.524
14.2,Fabricação de artigos de malharia e tricotagem,Entidades sem fins lucrativos,4,1,,
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",Total,11461,334317,318920,7173903.155
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",Administração pública,,,,
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",Entidades empresariais,11459,,,
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",Entidades sem fins lucrativos,2,,,
15.1,Curtimento e outras preparações de couro,Total,576,25626,24760,706538.774
15.1,Curtimento e outras preparações de couro,Administração pública,,,,
15.1,Curtimento e outras preparações de couro,Entidades empresariais,575,,,
15.1,Curtimento e outras preparações de couro,Entidades sem fins lucrativos,1,,,
15.2,Fabricação de artigos para viagem e de artefatos diversos de couro,Total,2434,22595,19331,405810.547
15.2,Fabricação de artigos para viagem e de artefatos diversos de couro,Administração pública,,,,
15.2,Fabricação de artigos para viagem e de artefatos diversos de couro,Entidades empresariais,2434,22595,19331,405810.547
15.2,Fabricação de artigos para viagem e de artefatos diversos de couro,Entidades sem fins lucrativos,,,,
15.3,Fabricação de calçados,Total,6971,259575,250248,5510940.338
15.3,Fabricação de calçados,Administração pública,,,,
15.3,Fabricação de calçados,Entidades empresariais,6970,,,
15.3,Fabricação de calçados,Entidades sem fins lucrativos,1,,,
15.4,"Fabricação de partes para calçados, de qualquer material",Total,1480,26521,24581,550613.496
15.4,"Fabricação de partes para calçados, de qualquer material",Administração pública,,,,
15.4,"Fabricação de partes para calçados, de qualquer material",Entidades empresariais,1480,26521,24581,550613.496
15.4,"Fabricação de partes para calçados, de qualquer material",Entidades sem fins lucrativos,,,,
16,Fabricação de produtos de madeira,Total,15574,186188,163887,4283249.824
16,Fabricação de produtos de madeira,Administração pública,,,,
16,Fabricação de produtos de madeira,Entidades empresariais,15570,186184,163887,4283249.824
16,Fabricação de produtos de madeira,Entidades sem fins lucrativos,4,4,,
16.1,Desdobramento de madeira,Total,7111,74326,64164,1485194.697
16.1,Desdobramento de madeira,Administração pública,,,,
16.1,Desdobramento de madeira,Entidades empresariais,7110,,,
16.1,Desdobramento de madeira,Entidades sem fins lucrativos,1,,,
16.2,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis",Total,8463,111862,99723,2798055.127
16.2,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis",Administração pública,,,,
16.2,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis",Entidades empresariais,8460,,,
16.2,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis",Entidades sem fins lucrativos,3,,,
17,"Fabricação de celulose, papel e produtos de papel",Total,4913,196689,189747,9463525.882
17,"Fabricação de celulose, papel e produtos de papel",Administração pública,,,,
17,"Fabricação de celulose, papel e produtos de papel",Entidades empresariais,4912,,,
17,"Fabricação de celulose, papel e produtos de papel",Entidades sem fins lucrativos,1,,,
17.1,Fabricação de celulose e outras pastas para a fabricação de papel,Total,45,28132,28101,2397030.98
17.1,Fabricação de celulose e outras pastas para a fabricação de papel,Administração pública,,,,
17.1,Fabricação de celulose e outras pastas para a fabricação de papel,Entidades empresariais,45,28132,28101,2397030.98
17.1,Fabricação de celulose e outras pastas para a fabricação de papel,Entidades sem fins lucrativos,,,,
17.2,"Fabricação de papel, cartolina e papel-cartão",Total,252,44408,44055,2610372.137
17.2,"Fabricação de papel, cartolina e papel-cartão",Administração pública,,,,
17.2,"Fabricação de papel, cartolina e papel-cartão",Entidades empresariais,252,44408,44055,2610372.137
17.2,"Fabricação de papel, cartolina e papel-cartão",Entidades sem fins lucrativos,,,,
17.3,"Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado",Total,2268,64761,61535,2268164.358
17.3,"Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado",Administração pública,,,,
17.3,"Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado",Entidades empresariais,2268,64761,61535,2268164.358
17.3,"Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado",Entidades sem fins lucrativos,,,,
17.4,"Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado",Total,2348,59388,56056,2187958.407
17.4,"Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado",Administração pública,,,,
17.4,"Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado",Entidades empresariais,2347,,,
17.4,"Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado",Entidades sem fins lucrativos,1,,,
18,Impressão e reprodução de gravações,Total,19070,121525,95029,3090064.087
18,Impressão e reprodução de gravações,Administração pública,1,,,
18,Impressão e reprodução de gravações,Entidades empresariais,19060,121251,94766,3079698.727
18,Impressão e reprodução de gravações,Entidades sem fins lucrativos,9,,,
18.1,Atividade de impressão,Total,12758,89826,72211,2390531.311
18.1,Atividade de impressão,Administração pública,1,,,
18.1,Atividade de impressão,Entidades empresariais,12749,89578,71964,2380357.625
18.1,Atividade de impressão,Entidades sem fins lucrativos,8,,,
18.2,Serviços de pré-impressão e acabamentos gráficos,Total,5901,,,
18.2,Serviços de pré-impressão e acabamentos gráficos,Administração pública,,,,
18.2,Serviços de pré-impressão e acabamentos gráficos,Entidades empresariais,5901,,,
18.2,Serviços de pré-impressão e acabamentos gráficos,Entidades sem fins lucrativos,,,,
18.3,Reprodução de materiais gravados em qualquer suporte,Total,411,,,
18.3,Reprodução de materiais gravados em qualquer suporte,Administração pública,,,,
18.3,Reprodução de materiais gravados em qualquer suporte,Entidades empresariais,410,,,
18.3,Reprodução de materiais gravados em qualquer suporte,Entidades sem fins lucrativos,1,,,
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",Total,596,268299,267522,22899338.841
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",Administração pública,,,,
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",Entidades empresariais,596,268299,267522,22899338.841
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",Entidades sem fins lucrativos,,,,
19.1,Coquerias,Total,8,395,383,28897.782
19.1,Coquerias,Administração pública,,,,
19.1,Coquerias,Entidades empresariais,8,395,383,28897.782
19.1,Coquerias,Entidades sem fins lucrativos,,,,
19.2,Fabricação de produtos derivados do petróleo,Total,210,54371,54125,13981370.133
19.2,Fabricação de produtos derivados do petróleo,Administração pública,,,,
19.2,Fabricação de produtos derivados do petróleo,Entidades empresariais,210,54371,54125,13981370.133
19.2,Fabricação de produtos derivados do petróleo,Entidades sem fins lucrativos,,,,
19.3,Fabricação de biocombustíveis,Total,378,213533,213014,8889070.926
19.3,Fabricação de biocombustíveis,Administração pública,,,,
19.3,Fabricação de biocombustíveis,Entidades empresariais,378,213533,213014,8889070.926
19.3,Fabricação de biocombustíveis,Entidades sem fins lucrativos,,,,
20,Fabricação de produtos químicos,Total,10038,312695,297519,20618508.08
20,Fabricação de produtos químicos,Administração pública,,,,
20,Fabricação de produtos químicos,Entidades empresariais,10037,,,
20,Fabricação de produtos químicos,Entidades sem fins lucrativos,1,,,
20.1,Fabricação de produtos químicos inorgânicos,Total,1153,60554,58680,3973163.583
20.1,Fabricação de produtos químicos inorgânicos,Administração pública,,,,
20.1,Fabricação de produtos químicos inorgânicos,Entidades empresariais,1153,60554,58680,3973163.583
20.1,Fabricação de produtos químicos inorgânicos,Entidades sem fins lucrativos,,,,
20.2,Fabricação de produtos químicos orgânicos,Total,419,22457,21848,1965011.185
20.2,Fabricação de produtos químicos orgânicos,Administração pública,,,,
20.2,Fabricação de produtos químicos orgânicos,Entidades empresariais,419,22457,21848,1965011.185
20.2,Fabricação de produtos químicos orgânicos,Entidades sem fins lucrativos,,,,
20.3,Fabricação de resinas e elastômeros,Total,333,23140,22699,2685510.682
20.3,Fabricação de resinas e elastômeros,Administração pública,,,,
20.3,Fabricação de resinas e elastômeros,Entidades empresariais,333,23140,22699,2685510.682
20.3,Fabricação de resinas e elastômeros,Entidades sem fins lucrativos,,,,
20.4,Fabricação de fibras artificiais e sintéticas,Total,98,3139,3014,172398.667
20.4,Fabricação de fibras artificiais e sintéticas,Administração pública,,,,
20.4,Fabricação de fibras artificiais e sintéticas,Entidades empresariais,98,3139,3014,172398.667
20.4,Fabricação de fibras artificiais e sintéticas,Entidades sem fins lucrativos,,,,
20.5,Fabricação de defensivos agrícolas e desinfestantes domissanitários,Total,265,25892,25486,3684671.69
20.5,Fabricação de defensivos agrícolas e desinfestantes domissanitários,Administração pública,,,,
20.5,Fabricação de defensivos agrícolas e desinfestantes domissanitários,Entidades empresariais,265,25892,25486,3684671.69
20.5,Fabricação de defensivos agrícolas e desinfestantes domissanitários,Entidades sem fins lucrativos,,,,
20.6,"Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal",Total,4324,103771,97398,4103171.162
20.6,"Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal",Administração pública,,,,
20.6,"Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal",Entidades empresariais,4323,,,
20.6,"Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal",Entidades sem fins lucrativos,1,,,
20.7,"Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",Total,1413,32024,29886,1672040.325
20.7,"Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",Administração pública,,,,
20.7,"Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",Entidades empresariais,1413,32024,29886,1672040.325
20.7,"Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",Entidades sem fins lucrativos,,,,
20.9,Fabricação de produtos e preparados químicos diversos,Total,2033,41718,38508,2362540.786
20.9,Fabricação de produtos e preparados químicos diversos,Administração pública,,,,
20.9,Fabricação de produtos e preparados químicos diversos,Entidades empresariais,2033,41718,38508,2362540.786
20.9,Fabricação de produtos e preparados químicos diversos,Entidades sem fins lucrativos,,,,
21,Fabricação de produtos farmoquímicos e farmacêuticos,Total,672,112552,111559,10126698.64
21,Fabricação de produtos farmoquímicos e farmacêuticos,Administração pública,2,,,
21,Fabricação de produtos farmoquímicos e farmacêuticos,Entidades empresariais,666,111426,110433,10060833.889
21,Fabricação de produtos farmoquímicos e farmacêuticos,Entidades sem fins lucrativos,4,,,
21.1,Fabricação de produtos farmoquímicos,Total,112,2338,2152,122802.123
21.1,Fabricação de produtos farmoquímicos,Administração pública,,,,
21.1,Fabricação de produtos farmoquímicos,Entidades empresariais,112,2338,2152,122802.123
21.1,Fabricação de produtos farmoquímicos,Entidades sem fins lucrativos,,,,
21.2,Fabricação de produtos farmacêuticos,Total,560,110214,109407,10003896.517
21.2,Fabricação de produtos farmacêuticos,Administração pública,2,,,
21.2,Fabricação de produtos farmacêuticos,Entidades empresariais,554,109088,108281,9938031.766
21.2,Fabricação de produtos farmacêuticos,Entidades sem fins lucrativos,4,,,
22,Fabricação de produtos de borracha e de material plástico,Total,15940,397273,374212,14149607.525
22,Fabricação de produtos de borracha e de material plástico,Administração pública,,,,
22,Fabricação de produtos de borracha e de material plástico,Entidades empresariais,15938,,,
22,Fabricação de produtos de borracha e de material plástico,Entidades sem fins lucrativos,2,,,
22.1,Fabricação de produtos de borracha,Total,2924,88251,83865,3864681.273
